GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.internal.analytics,VanillaAnalytics,31,0,0,0,7,0,2,0,2,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.internal.analytics,AnalyticsUtil,49,0,6,0,8,0,7,0,4,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.internal.analytics,MuteAnalytics,15,0,0,0,3,0,2,0,2,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,ClassLookup,18,0,0,0,4,0,4,0,4,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,StringInterner,7,105,3,13,3,22,3,9,0,4
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,StringBuilderPool,22,0,0,0,6,0,3,0,3,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,StaticEnumClass,20,13,4,0,3,4,5,2,3,2
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,ClassAliasPool,174,444,19,21,34,78,23,18,9,12
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,DynamicEnumClass,83,128,9,5,16,23,9,6,3,5
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,EnumInterner,86,0,4,0,20,0,7,0,5,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,ParsingCache.ParsedData,0,9,0,0,0,4,0,1,0,1
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,ClassAliasPool.CAPKey,26,74,3,9,9,19,5,8,2,5
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,EnumCache,106,29,10,2,20,6,8,5,3,4
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.pool,ParsingCache,26,98,12,6,3,22,9,4,1,3
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.announcer,Announcer,10,0,0,0,4,0,2,0,2,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core.cleaner.impl.reflect,ReflectionBasedByteBufferCleanerService,39,55,2,2,9,20,2,4,0,4
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,UnsafeMemory.ARMMemory,667,0,72,0,136,0,69,0,33,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Mocker.new AbstractInvocationHandler() {...},6,21,1,1,1,4,1,2,0,2
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Jvm.ChainedSignalHandler,26,8,4,0,8,2,3,1,1,1
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,OS,553,326,66,16,111,84,58,20,18,19
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Mocker.new AbstractInvocationHandler() {...},6,0,0,0,2,0,2,0,2,0
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Maths,488,692,51,75,64,94,59,56,20,30
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,FlakyTestRunner,19,24,1,3,7,12,1,4,0,3
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Jvm.new HashMap() {...},0,51,0,0,0,10,0,1,0,1
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,ClassLocal,0,16,0,0,0,5,0,3,0,3
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,Memory,0,8,0,0,0,2,0,1,0,1
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,StackTrace,39,20,4,0,10,4,4,2,2,2
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,UnsafeMemory,1052,257,104,8,242,70,136,36,80,36
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,CleaningRandomAccessFile,5,10,0,0,2,5,1,2,1,2
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,LicenceCheck,80,114,6,6,9,19,4,3,0,1
OpenHFT/Chronicle-Core,net.openhft.chronicle.core,OS.Unmapper,49,0,8,0,14,0,7,0,3,0
